gene_id	B100	B110	B175	B200	B210	B275	B300	B310	B375
MSTRG.1	6246	3206	63	6323	1957	167	1672	720	0
MSTRG.10	10	24	0	35	36	0	38	43	0
MSTRG.100	65	531	3158	134	54	4096	12	829	2559
MSTRG.1000	1947	3017	75	1641	1058	112	1691	3611	81
MSTRG.10000	118	2785	92	3	2589	356	6	2886	0
MSTRG.10001	319	20	117	316	3	1232	230	46	25
MSTRG.10002	752	2103	0	655	1183	0	284	2264	99
MSTRG.10003	1877	3084	820	914	3477	3063	958	4776	373
MSTRG.10004	0	2170	4926	0	1507	5640	0	2484	4657
MSTRG.10005	1303	247	50	749	129	161	214	360	53
MSTRG.10006	2168	894	99	1891	898	82	2249	750	98
MSTRG.10007	467	842	3995	668	466	7284	306	804	3506
MSTRG.10008	477	263	2409	740	134	3416	333	204	1563
MSTRG.10009	861	0	460	335	0	694	402	0	963
MSTRG.1001	4017	3407	32	5924	4785	259	2376	4422	49
MSTRG.10010	4703	0	3553	5509	2	3703	1281	3	1851
MSTRG.10011	1731	595	473	816	733	1235	928	572	803
MSTRG.10012	270	1428	513	1135	985	337	641	134	306
MSTRG.10013	0	394	644	0	553	1060	0	354	521
MSTRG.10014	131	621	461	130	575	604	33	490	518
MSTRG.10015	582	175	3972	367	251	4560	458	139	3127
MSTRG.10016	66	134	1980	325	70	13151	63	64	1297
MSTRG.10017	0	917	600	0	889	1062	0	1514	269
MSTRG.10018	138	1519	5139	0	1367	6229	6	1265	2107
MSTRG.10019	0	12369	3492	0	7497	5681	0	14473	2019
MSTRG.1002	1273	314	1244	1399	230	1695	1166	74	1359
MSTRG.10020	27	4695	58	51	2224	127	4	9370	77
MSTRG.10021	37	1809	1762	25	1510	2095	8	2012	1689
MSTRG.10022	0	581	63	0	545	30	0	444	44
MSTRG.10023	0	6640	1838	0	4758	1635	0	3813	1833
MSTRG.10024	9167	5262	119	3083	806	105	2854	5551	197
MSTRG.10025	0	2186	300	0	1105	226	0	1941	72
MSTRG.10026	126	23	1545	109	2	1216	47	0	1402
MSTRG.10027	332	53	114	424	18	134	290	15	101
MSTRG.10028	3929	2319	999	2891	4320	1408	2498	4024	986
MSTRG.10029	0	6594	619	0	2259	551	0	3700	499
MSTRG.1003	59	305	2	1	88	1	1	328	3
MSTRG.10030	0	1152	4356	0	658	7928	0	958	1876
MSTRG.10031	162	2283	1523	291	2798	1708	152	2373	1659
MSTRG.10032	982	1318	219	1220	409	59	812	915	119
MSTRG.10033	956	3535	666	424	2076	1075	586	2964	128
MSTRG.10034	93	1238	90	87	1246	60	259	589	67
MSTRG.10035	75	80	310	18	0	521	48	0	604
MSTRG.10036	566	688	786	467	835	942	465	1004	500
MSTRG.10037	145	109	549	107	13	751	61	69	1138
MSTRG.10038	83	744	1700	113	393	854	68	712	494
MSTRG.10039	77	511	865	48	822	1467	0	963	971
MSTRG.1004	1670	1909	516	1138	19134	767	1406	1658	814
MSTRG.10040	557	1230	1068	397	409	859	269	1865	2199
MSTRG.10041	494	0	0	545	0	0	164	0	0
MSTRG.10042	10084	1587	2574	6368	2119	4547	4437	2001	2013
MSTRG.10043	191	4861	1	94	2791	4	30	4601	0
MSTRG.10044	5689	180	5119	462	16	3933	283	192	2725
MSTRG.10045	2269	29	8035	18507	30	12944	1016	117	7675
MSTRG.10046	8	966	289	81	1140	935	5	1175	38
MSTRG.10047	558	22	149	497	145	105	430	194	99
MSTRG.10048	32	250	5706	34	255	13657	20	27	6227
MSTRG.10049	338	3018	49	1139	1929	2	227	3872	9
MSTRG.1005	4175	2347	529	1690	1728	577	3354	1836	743
MSTRG.10050	304	1323	94	321	78	173	126	2107	62
MSTRG.10051	1105	0	1	848	0	17	825	0	6
MSTRG.10052	6028	71	615	5049	55	447	3775	179	4735
MSTRG.10053	874	192	240	1048	552	140	295	585	1763
MSTRG.10054	3807	1579	747	4089	2692	578	984	1671	5587
MSTRG.10055	13670	757	0	13906	1605	0	3812	756	0
MSTRG.10056	0	149	1701	0	379	885	0	291	1697
MSTRG.10057	0	1838	349	53	2698	367	0	2699	213
MSTRG.10058	9828	51	27	6048	52	48	4131	39	138
MSTRG.10059	8637	149	3	7661	229	70	4454	267	0
MSTRG.1006	1982	2166	2	563	1386	48	1334	1288	0
MSTRG.10060	14653	5919	0	9268	4065	2	4007	5844	11
MSTRG.10061	3167	28516	1796	3919	2239	1834	820	30621	1243
MSTRG.10062	1060	752	719	605	715	1611	561	282	959
MSTRG.10063	41	534	823	23	214	857	20	313	660
MSTRG.10064	108	6778	2619	73	4697	2897	14	5099	2867
MSTRG.10065	49	13	511	28	13	1001	80	19	493
MSTRG.10066	11477	250	0	13135	77	25	5465	91	0
MSTRG.10067	260	103	220	547	4	166	71	79	541
MSTRG.10068	169	483	4396	232	414	7461	197	481	2101
MSTRG.10069	270	37	177	634	36	170	260	79	578
MSTRG.1007	10755	591	0	14218	462	864	12232	634	0
MSTRG.10070	44	226	2811	111	121	5088	31	109	2855
MSTRG.10071	90	0	48	61	5	134	152	25	81
MSTRG.10072	184	143	264	67	193	470	96	182	268
MSTRG.10073	969	437	19	216	741	58	705	837	19
MSTRG.10074	142	2021	76	226	3162	92	229	1909	77
MSTRG.10075	156	2236	7411	191	558	10494	172	2419	5090
MSTRG.10076	3771	1944	10	2534	1667	121	3063	3387	51
MSTRG.10077	2007	5729	0	6328	7342	0	2006	5068	0
MSTRG.10078	312	15	0	1282	2	0	278	10	0
MSTRG.10079	76	0	574	38	71	418	7	42	694
MSTRG.1008	1162	7394	2234	1263	3043	1218	527	4524	2876
MSTRG.10080	46	2225	98	2	1744	72	384	2051	278
MSTRG.10081	108	0	997	35	0	1511	26	0	1006
MSTRG.10082	731	6859	1310	496	3378	929	787	8752	1450
MSTRG.10083	325	1753	7372	309	1824	10347	166	1772	6560
MSTRG.10084	336	41	0	6	328	8	345	199	24
MSTRG.10085	2657	2096	546	2174	7272	669	1543	3429	741
MSTRG.10086	99	3	49	527	2	84	113	1	29
MSTRG.10087	10	57	284	125	103	220	0	195	141
MSTRG.10088	2848	681	738	4071	493	1080	1456	883	619
MSTRG.10089	462	620	210	626	5266	137	2103	897	246
MSTRG.1009	1021	484	263	819	74	491	659	177	310
MSTRG.10090	255	0	69	93	62	96	124	4	98
MSTRG.10091	1332	247	62	889	903	87	896	161	285
MSTRG.10092	1937	1200	134	825	991	245	410	1436	134
MSTRG.10093	0	4666	998	0	7678	729	0	3899	811
MSTRG.10094	0	1423	514	0	1234	945	0	900	438
MSTRG.10095	162	32	1562	353	0	395	15	55	909
MSTRG.10096	3770	3	104	3555	20	20	1406	39	150
MSTRG.10097	14583	269	847	3035	147	1148	9439	216	569
MSTRG.10098	124	1574	81	112	906	127	110	1526	64
MSTRG.10099	7960	219	415	6160	285	407	3959	177	206
MSTRG.101	19786	1104	3211	20179	88	3581	4353	1684	3729
MSTRG.1010	7428	2228	9392	3722	106	16751	6659	403	7389
MSTRG.10100	194	2033	75	137	1642	199	328	1236	382
MSTRG.10101	677	34	2271	216	193	1403	256	20	591
MSTRG.10102	250	2019	468	397	1169	548	198	2534	311
MSTRG.10103	16014	165	0	8912	164	0	14004	214	0
MSTRG.10104	2925	780	5	2625	419	52	6897	707	5
MSTRG.10105	408	3435	5762	87	2285	6298	639	4780	1407
MSTRG.10106	1094	5598	408	916	4522	226	1140	5085	343
MSTRG.10107	1711	0	1980	911	0	2765	1286	0	487
MSTRG.10108	728	0	1491	393	1	2429	733	25	1453
MSTRG.10109	1898	25	79	2276	179	196	1821	29	149
MSTRG.1011	1950	67	210	1552	399	291	1714	33	217
MSTRG.10110	3511	210	17	3077	2879	114	1559	136	54
MSTRG.10111	63	4918	111	45	3810	264	85	5682	220
MSTRG.10112	3071	498	0	1644	342	0	3936	1001	0
MSTRG.10113	590	303	110	474	245	405	300	557	141
MSTRG.10114	100	36	1358	71	19	773	160	70	372
MSTRG.10115	4107	72	214	2353	140	485	1737	33	433
MSTRG.10116	1089	288	90	64	130	0	330	228	124
MSTRG.10117	6375	0	3675	6267	29	5629	3209	2	2234
MSTRG.10118	1807	53	77	3353	55	9	1660	18	58
MSTRG.1012	80	183	323	25	167	439	157	291	531
MSTRG.10120	0	0	1024	0	0	1442	0	0	398
MSTRG.10121	567	57	1823	3	90	2670	401	0	1518
MSTRG.10122	43	170	189	420	525	302	107	1	257
MSTRG.10123	904	83	3302	16	1607	3325	0	154	3040
MSTRG.10124	990	0	298	1061	0	157	446	29	459
MSTRG.10125	991	1788	3070	920	11583	2589	237	557	3329
MSTRG.10126	0	4152	102	0	1869	9	0	2311	101
MSTRG.10127	2705	62	187	3602	183	75	2011	102	130
MSTRG.10128	101	153	3945	1185	92	1853	463	130	2429
MSTRG.10129	2209	1946	2340	2174	4909	3072	1622	2517	1490
MSTRG.1013	811	294	68	664	131	197	616	301	318
MSTRG.10130	2006	2442	1490	4473	1415	1508	1274	2731	973
MSTRG.10131	12312	628	821	11117	726	1101	2374	1462	768
MSTRG.10132	2411	3323	1841	1362	2392	2369	2308	1929	1848
MSTRG.10133	1452	33	300	788	8	186	1379	22	198
MSTRG.10134	5858	535	345	6624	1641	123	3062	1626	341
MSTRG.10135	15	678	1067	0	214	410	0	286	1588
MSTRG.10136	1047	872	2029	1592	1170	1048	294	923	3421
MSTRG.10137	4268	616	594	4708	492	35	1000	748	250
MSTRG.10138	3039	4296	3915	2739	6402	1964	800	3984	2599
MSTRG.10139	9616	2367	0	9772	16764	0	2558	1767	0
MSTRG.1014	881	4449	198	439	4140	346	790	7536	580
MSTRG.10140	0	689	3166	66	1064	2867	12	523	2784
MSTRG.10141	1322	4804	5827	1223	1473	4539	1489	2951	3698
MSTRG.10142	935	3852	4289	434	7063	3084	625	3020	3439
MSTRG.10143	294	1214	155	134	1647	79	64	1031	144
MSTRG.10144	713	943	88	434	589	145	443	1147	45
MSTRG.10145	3555	1681	674	2840	339	859	2088	1314	404
MSTRG.10146	288	222	49	326	424	842	237	607	239
MSTRG.10147	1120	3014	18060	1641	1066	17059	808	1781	21586
MSTRG.10148	139	1444	6088	362	1303	9070	631	2001	9664
MSTRG.10149	380	746	1	1	783	1	2	640	0
MSTRG.1015	0	1188	827	57	1054	1233	0	927	984
MSTRG.10150	6465	4193	9	7202	1657	0	4981	2008	25
MSTRG.10151	93	1632	355	141	1121	644	56	1727	314
MSTRG.10152	3581	404	68	2672	28	214	1519	531	45
MSTRG.10153	1988	786	4	1210	1181	11	800	272	0
MSTRG.10154	12683	111	1	8422	140	1	11123	54	1
MSTRG.10155	2874	450	37	2137	315	30	2323	702	48
MSTRG.10156	93	982	0	307	916	0	80	1003	78
MSTRG.10157	13924	631	1	9045	842	1	11997	1206	1
MSTRG.10158	219	1462	29	154	427	47	117	830	50
MSTRG.10159	28	954	520	70	3203	2472	18	1303	703
MSTRG.1016	11	940	899	607	1334	1249	0	262	685
MSTRG.10160	60	1709	16844	55	626	17953	3	2085	31111
MSTRG.10161	838	0	18234	427	0	16541	186	0	46353
MSTRG.10162	96	3192	323	52	2415	994	94	3252	1247
MSTRG.10163	1384	1	89	420	2	3	982	0	420
MSTRG.10164	135	6127	13	118	3123	9	17	3735	1
MSTRG.10165	979	8821	1871	860	8605	1022	1121	10108	1221
MSTRG.10166	82	401	1877	50	617	710	59	104	1474
MSTRG.10167	686	11	568	881	692	412	709	0	4471
MSTRG.10168	4315	7517	718	3363	15779	234	2815	6642	3950
MSTRG.10169	5129	396	0	4941	77	0	2775	202	0
MSTRG.1017	3149	4081	2278	1292	2214	4397	3270	3558	1827
MSTRG.10170	1302	133	0	673	165	0	486	65	0
MSTRG.10171	1205	26	1	972	46	31	716	84	52
MSTRG.10172	4915	2148	184	4860	1422	371	3393	451	1365
MSTRG.10173	59	887	899	91	515	1307	87	207	874
MSTRG.10174	1286	3165	4617	1041	1437	5630	535	597	3524
MSTRG.10175	939	0	38	364	0	268	380	0	266
MSTRG.10176	118	2394	1996	5	1997	1618	108	2535	1459
MSTRG.10177	12	427	22	1	539	0	1	295	1
MSTRG.10178	2392	10	0	1729	943	0	2257	9	0
MSTRG.10179	13	6	0	4	45	0	29	97	0
MSTRG.1018	493	1342	1261	622	1198	2504	339	877	2994
MSTRG.10180	10	1009	2793	5	594	1761	97	1012	17113
MSTRG.10181	2267	1022	3	1078	1363	53	2053	1385	23
MSTRG.10182	3691	1035	0	3804	943	0	2308	573	0
MSTRG.10183	2546	3012	0	2061	3308	0	2791	3755	0
MSTRG.10184	329	559	91	376	869	56	255	996	25
MSTRG.10185	1465	1099	355	1413	661	507	913	968	468
MSTRG.10186	1301	463	913	625	1536	1747	1005	900	880
MSTRG.10187	0	3452	1594	0	2252	1351	0	2629	1284
MSTRG.10188	891	5680	179	1461	3836	1689	454	6797	1406
MSTRG.10189	143	49	351	40	122	263	41	57	352
MSTRG.1019	11575	302	4	11779	474	2444	7996	129	2463
MSTRG.10190	947	232	1231	610	361	1442	68	444	1477
MSTRG.10191	373	55	518	342	87	615	251	39	600
MSTRG.10192	744	79	502	667	53	270	414	72	120
MSTRG.10193	145	8539	92	107	6106	2649	54	8194	71
MSTRG.10194	43	0	2589	57	0	5123	11	0	2143
MSTRG.10195	209	0	1177	105	0	2796	80	0	829
MSTRG.10196	1451	1052	82	1788	530	0	1707	1416	78
MSTRG.10197	1506	1134	3	1088	1300	11	987	1004	6
MSTRG.10198	10589	1160	0	16615	650	0	4197	1272	0
MSTRG.10199	5892	6382	1206	3177	9673	844	9335	6297	1288
MSTRG.102	2073	3157	637	2218	485	694	540	3815	1121
MSTRG.1020	321	3906	172	391	1162	77	730	1902	200
MSTRG.10200	1660	0	1214	1501	20	808	1098	8	887
MSTRG.10201	479	226	830	498	59	161	208	217	368
MSTRG.10202	11618	268	0	11592	288	0	6224	162	0
MSTRG.10203	3904	828	5	1392	808	236	2520	750	1
MSTRG.10204	2373	170	0	1221	102	0	1614	217	0
MSTRG.10205	1112	52	204	834	105	112	756	220	112
MSTRG.10206	2673	82	382	2702	199	3201	2162	264	1741
MSTRG.10207	2366	331	242	422	172	336	644	229	204
MSTRG.10208	9408	734	12584	3597	641	23223	2495	1537	10565
MSTRG.10209	91	678	2888	85	1099	6507	29	729	2661
MSTRG.1021	472	1938	2426	507	2344	2421	449	1366	972
MSTRG.10210	1360	3551	1909	1109	2275	1736	359	4739	2157
MSTRG.10211	106	149	1434	0	181	1064	0	128	1004
MSTRG.10212	180	18	901	434	11	483	178	15	1830
MSTRG.10213	299	1591	3585	222	1157	2881	187	1227	5038
MSTRG.10214	1224	119	741	801	44	863	992	96	604
MSTRG.10215	217	514	1370	381	552	1541	241	368	1088
MSTRG.10216	3763	102	933	1722	45	411	2672	567	993
MSTRG.10217	0	2454	1326	0	1351	1975	0	1458	1018
MSTRG.10218	1729	485	26212	1918	641	26193	886	314	14425
MSTRG.10219	5517	0	808	2399	181	965	3569	0	903
MSTRG.1022	228	1949	3211	323	1476	1893	682	2528	2385
MSTRG.10220	84	0	1487	12	0	977	129	0	1098
MSTRG.10221	1121	28	86	1250	28	35	827	0	136
MSTRG.10222	313	8045	218	212	2154	195	116	3109	291
MSTRG.10223	23	0	3219	98	0	3179	82	0	3419
MSTRG.10224	2228	15	431	2175	9	381	1471	73	580
MSTRG.10225	1372	2639	586	730	1656	1021	802	1797	566
MSTRG.10226	0	2064	166	0	1712	144	0	2977	165
MSTRG.10227	92	151	86	98	155	38	148	158	73
MSTRG.10228	474	340	1981	744	434	1388	206	551	1511
MSTRG.10229	2979	0	28	3176	134	4	2028	0	46
MSTRG.1023	775	4	1388	585	3	660	1172	24	1145
MSTRG.10230	586	1	1	1055	277	33	155	2	0
MSTRG.10231	164	106	1298	522	360	1893	228	146	1123
MSTRG.10232	1962	1196	105	3059	822	42	1159	790	6
MSTRG.10233	28	319	95	43	83	14	32	717	20
MSTRG.10234	9006	174	1659	5195	0	7473	5876	178	1904
MSTRG.10235	42803	4345	1063	6051	6107	2694	39060	4483	1314
MSTRG.10236	520	80	1226	650	13	1540	232	38	1442
MSTRG.10237	476	44	1990	415	0	6490	394	0	893
MSTRG.10238	6847	1129	1101	4366	3804	684	4186	379	857
MSTRG.10239	231	0	29	106	0	42	73	2	181
MSTRG.1024	1184	108	6	776	167	6	754	178	3
MSTRG.10240	570	1970	1316	363	3430	2235	320	1889	1043
MSTRG.10241	1	250	720	21	420	411	1	472	515
MSTRG.10242	124	3722	596	17	2219	308	72	5217	317
MSTRG.10243	200	24	1022	79	45	884	70	29	602
MSTRG.10244	0	388	1160	0	322	829	22	413	8836
MSTRG.10245	257	2051	1571	242	1186	1483	146	2569	1578
MSTRG.10246	749	39	407	772	44	282	603	26	366
MSTRG.10247	2102	0	714	5780	0	239	2306	0	431
MSTRG.10248	3725	214	1434	948	13	306	4436	139	773
MSTRG.10249	2292	205	29	2110	59	55	3060	305	115
MSTRG.1025	1635	0	4094	1579	61	8944	975	16	4402
MSTRG.10250	6059	4582	0	6680	1416	0	2556	3452	0
MSTRG.10251	447	2942	59	134	3670	7	287	2667	281
MSTRG.10252	0	1387	110	0	1610	204	0	1808	103
MSTRG.10253	2	867	0	61	963	0	15	804	0
MSTRG.10254	2891	1706	509	2300	2601	537	2540	3027	349
MSTRG.10255	0	423	319	0	107	143	0	244	148
MSTRG.10256	9577	66	60	4187	44	57	8253	83	44
MSTRG.10257	2154	0	0	2587	0	0	2242	9	0
MSTRG.10258	55	1543	0	195	249	0	105	1479	0
MSTRG.10259	2330	2226	2379	5267	1217	276	2409	3751	525
MSTRG.1026	50	71	16909	1	19	21208	1	80	19881
MSTRG.10260	763	594	0	191	45	0	312	308	0
MSTRG.10261	881	3093	0	495	1184	0	819	3221	0
MSTRG.10262	1175	3688	0	2028	226	0	1656	5464	0
MSTRG.10263	491	0	1545	707	0	2891	265	0	1597
MSTRG.10264	79	2943	300	57	1344	1817	11	3621	323
MSTRG.10265	16	5916	8	0	1774	29	0	7658	1
MSTRG.10266	24	4578	253	42	2395	206	3	4370	219
MSTRG.10267	61	122	53	39	109	124	86	95	70
MSTRG.10268	15899	1095	750	8631	645	222	5636	471	611
MSTRG.10269	4372	237	331	2158	301	306	2509	543	320
MSTRG.1027	7312	3	20	3035	2	28	8166	62	9
MSTRG.10270	30	29961	234	10	21769	404	5	33826	270
MSTRG.10271	722	9025	126	306	5782	618	762	1913	111
