gene_id	B100	B105	B110	B135	B175	B200	B205	B210	B235	B275	B300	B305	B310	B335	B375
MSTRG.4499	2484	500	1509	337	185	4976	345	1081	0	153	1517	626	1919	189	286
MSTRG.45	839	6772	1416	1363	5559	620	7050	1368	1469	4738	1288	7141	4582	3111	7731
MSTRG.450	1607	701	3914	8332	21	978	241	3979	4666	56	1736	672	7818	5073	8
MSTRG.4500	27286	447	8929	0	3	14192	362	1011	0	26	19218	724	2876	0	0
MSTRG.4501	0	2	202	2966	1022	38	57	1266	3605	1840	4	33	92	3409	1165
MSTRG.4502	18	23	0	48	847	10	29	0	9	929	20	15	0	13	601
MSTRG.4503	15	1348	271	137	0	13	724	0	123	0	13	1081	1207	360	0
MSTRG.4504	3	324	628	1	0	2	237	0	1	0	22	210	808	14	0
MSTRG.4505	327	3056	3376	1396	0	370	3118	1674	281	0	342	3374	3038	951	0
MSTRG.4506	124	17875	637	66	21	109	17045	1286	208	0	165	15842	918	105	2
MSTRG.4507	524	16045	6411	0	0	335	8418	3627	0	0	394	18342	7744	0	0
MSTRG.4508	3490	150	81	281	12	2669	266	14	356	133	1934	395	24	2967	55
MSTRG.4509	0	118	305	28	73	0	57	277	167	40	0	70	213	42	15
MSTRG.451	232	36	645	2	987	199	228	554	1	622	163	355	594	0	540
MSTRG.4510	303	1834	1527	688	29	62	1836	1750	672	88	133	865	1561	688	131
MSTRG.4511	340	889	1096	3	425	831	3028	1536	7	153	155	807	758	17	238
MSTRG.4512	7	11034	314	513	6	9	20758	270	358	6	39	9313	384	218	16
MSTRG.4513	1508	3842	1110	1902	3393	1512	5829	912	1247	2770	716	3932	1063	855	3186
MSTRG.4514	385	35	1812	3368	13989	338	21	1320	1289	28122	650	12	2249	7238	11307
MSTRG.4515	6	23	409	1519	5642	24	2	489	591	4751	0	7	811	1091	4821
MSTRG.4516	377	187	587	111	2627	300	189	518	87	2565	687	149	561	238	2673
MSTRG.4517	38	53	1448	5716	416	8	33	967	17487	293	0	22	1383	7430	322
MSTRG.4518	5	2135	255	22	0	21	2189	200	33	0	2	1640	426	94	0
MSTRG.4519	7598	0	282	1261	235	5512	0	147	732	337	7608	0	149	816	539
MSTRG.452	37	110	343	0	0	0	102	327	0	0	0	94	871	0	0
MSTRG.4520	1050	1036	13	181	16	464	2324	3	96	51	791	2416	33	287	60
MSTRG.4521	223	258	442	4258	359	202	14	563	2715	673	130	11	529	2801	916
MSTRG.4522	433	414	54	1287	145	275	425	66	994	159	222	231	45	1427	126
MSTRG.4523	3991	2544	3	5828	9	2911	4793	60	11999	61	2614	2245	0	4576	14
MSTRG.4524	10979	300	64	1685	25	16568	278	28	10914	9	3859	479	10	2974	12
MSTRG.4525	17071	195	56	185	37	8280	253	35	171	50	17191	162	20	199	9
MSTRG.4526	142	2394	1875	53	5517	254	5074	216	451	7556	239	2538	1726	581	5490
MSTRG.4527	2221	13563	1344	3438	5169	2327	10012	1607	4319	3446	834	10118	1479	5055	4308
MSTRG.4528	3176	9	13829	8736	6	3165	0	9991	16677	160	1135	29	10377	6590	48
MSTRG.4529	2	464	4691	199	0	0	501	3375	1817	0	1	805	5024	1	0
MSTRG.453	71	105	350	923	1563	35	83	221	674	2102	94	118	612	882	462
MSTRG.4530	20945	23	12	3600	134	20826	96	348	2643	179	7062	246	0	2482	74
MSTRG.4531	6181	1913	4	1	34	3589	1011	3	1	16	6462	2933	4	59	24
MSTRG.4532	39	823	34	5	0	19	632	4	38	0	16	789	190	7	0
MSTRG.4533	7	10	282	1562	66	14	13	365	4809	59	15	45	281	1250	82
MSTRG.4534	3224	3196	40	476	281	3329	1667	17	242	398	1417	2663	11	320	316
MSTRG.4535	0	735	0	1975	635	0	468	0	1272	655	87	362	0	1746	768
MSTRG.4536	1113	93	4030	995	4951	1747	116	19266	469	3110	1420	110	13077	409	4493
MSTRG.4537	443	23307	11612	633	2119	20	17760	4228	243	2746	21	12875	1553	550	2334
MSTRG.4538	422	2268	4498	0	400	452	98	16608	0	705	114	3999	5308	0	173
MSTRG.4539	2403	263	2600	472	25	3032	198	594	483	366	1138	148	534	538	636
MSTRG.454	76	697	131	2164	357	65	555	114	1852	276	105	492	213	658	290
MSTRG.4540	303	447	39	1243	2	168	243	108	2026	110	402	408	57	447	22
MSTRG.4541	229	127	1123	59	0	210	70	1264	166	153	147	71	1145	43	0
MSTRG.4542	30	0	8	635	390	56	0	5	1080	43	26	0	20	765	149
MSTRG.4543	3065	343	142	42	263	4452	258	339	5	293	1889	360	102	25	140
MSTRG.4544	8321	1992	7	9877	3268	5966	1770	31	16092	4218	12178	3303	5	7473	3731
MSTRG.4545	14029	5048	29	730	205	9295	6792	29	1377	176	9678	7286	7	1815	218
MSTRG.4546	606	12793	261	0	875	636	11135	380	421	1813	741	8748	192	4	804
MSTRG.4547	0	178	458	0	22	0	1237	143	31	41	22	5	638	0	25
MSTRG.4548	2177	2127	394	0	1038	1016	2557	414	41	506	2889	3176	540	0	953
MSTRG.4549	1372	1	41	34	45	726	2	134	52	744	1125	48	110	55	0
MSTRG.455	19	0	73	322	2719	37	0	89	488	9994	2	0	183	225	3396
MSTRG.4550	9	157	1230	0	76	0	137	1035	362	83	86	151	1293	2	0
MSTRG.4551	4065	278	3650	229	478	2252	225	3775	85	1138	2293	181	4102	145	414
MSTRG.4552	224	6607	899	206	0	88	8080	376	610	15	179	5542	875	941	17
MSTRG.4553	28030	854	816	3	356	15642	1244	882	47	218	6049	956	667	11	485
MSTRG.4554	1127	2668	12	18	2012	57	1608	37	166	3093	2133	2150	0	37	2236
MSTRG.4555	202	0	16	0	502	163	1061	45	0	62	56	0	4	0	920
MSTRG.4556	303	15210	1041	94	2994	194	11655	1011	272	2738	354	610	794	127	2997
MSTRG.4557	119	0	3569	357	7241	44	24	405	249	3387	72	0	2786	345	16674
MSTRG.4558	0	799	0	2588	1294	0	400	0	2204	6244	0	130	0	4122	767
MSTRG.4559	0	0	1188	4951	1396	0	0	1583	5487	2213	0	0	1699	4020	1214
MSTRG.456	0	0	801	187	5269	0	0	441	62	10801	0	0	654	167	3037
MSTRG.4560	0	424	163	338	1521	0	6529	36	522	3454	16	123	17	364	1224
MSTRG.4561	2418	562	67	1463	764	1997	5801	228	1229	924	3273	570	228	1574	546
MSTRG.4562	162	1162	1732	705	1951	87	993	2484	220	1843	145	624	1117	407	2165
MSTRG.4563	244	15	447	0	1289	203	1	297	21	2372	195	57	254	6	1051
MSTRG.4564	15719	1326	6	3078	396	13780	1413	0	2452	222	3377	1884	95	2249	187
MSTRG.4565	1252	5956	2217	99	864	1186	5160	1958	5	419	901	4204	2066	78	341
MSTRG.4566	2992	1089	184	18	546	2086	1453	272	20	2858	1886	837	476	23	1074
MSTRG.4567	0	6601	3606	326	252	754	6088	2469	282	1505	0	6125	3991	42	281
MSTRG.4568	7450	1395	6	387	259	17140	356	1	657	274	728	388	6	58	220
